fid,OBJECTID,DISTRICT,LEGAL_DESC,AVGAGE,UTMX,UTMY,Acres,Owner,Srvy_2015,Srvy_2013,Srvy_2014,Srvy_2016,Srvy_2017,Srvy_2018,Srvy_2019,Cut_Yr,Burned,layer,path,Site_ID,treatment,Srvy_13_19,Srvy_23,Srvy_24
115,14881,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10956,BS,0,1,1
117,137779,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10444,HU,0,1,1
118,2467,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10185,HB,0,1,1
120,12637,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10463,BS,0,0,1
122,59881,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10467,HB,0,1,1
124,1304,Clackamas,06S-03E-26,57,546142,4985400,47.3451,WY,1,0,0,1,0,0,0,2016,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,10968,HU,1,1,1
128,0,Snowpeak,10S-02E-16,54,534524,4949650,118.449,WY,1,0,0,1,0,1,0,2018,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20626,HU,1,0,1
131,0,Snowpeak,11S-01E-3,64,525790,4942920,41.3823,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,29429,UU,1,1,1
133,16294,Snowpeak,11S-01E-09,35,524582,4941810,82.1826,WY,1,0,0,1,0,1,1,2022,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,20616,UU,1,1,1
139,2590,Clackamas,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,CL_50older_6ac,/vsizip/C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/CL New Sites shp.zip/CL_50older_6ac.shp|layername=CL_50older_6ac,10024,BS,0,1,1
141,0,Snowpeak,11S-01E-3,64,525961,4943790,48.8524,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,29431,UU,1,0,1
147,0,Clackamas,04S-02E-23,73,537459,5006790,72.9277,PBTF,1,0,0,0,0,1,1,2015,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,34017,HU,1,1,1
154,0,Clackamas,"05S-04E-03, 02",65,555408,5002010,113.227,PBTF,0,0,0,0,0,1,1,2016,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,34007,HB,1,1,1
157,0,Clackamas,05S-04E-09,150,553311,4999640,108.435,BLM,0,0,0,1,0,1,1,0,No,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,10302,UU,1,1,1
158,0,Clackamas,04S-04E-24,55,558097,5006370,31.9156,PBTF,1,0,0,1,0,1,1,2014,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,408178,BS,1,1,1
159,0,Clackamas,04S-04E-24,55,558097,5006370,31.9156,PBTF,1,0,0,1,0,1,1,2014,Yes,OSS_All_Units2,C:/Users/jasmi/OneDrive/Documents/Academic/OSU/Projects/OSS Project/Admin/Maps/OSS Shapefiles/WY OSS Shapefiles/OSS_All_Units2/OSS_All_Units2.shp,408178,HB,1,1,1
